class_num,file_name,width,height,imgfile,drug_N,drug_S,back_color,drug_dir,light_color,camera_la,camera_lo,size,item_seq,leng_long,leng_short,thick,id,dl_idx,dl_mapping_code,dl_name,dl_name_en,img_key,dl_material,dl_material_en,dl_custom_shape,dl_company,dl_company_en,di_company_mf,di_company_mf_en,di_item_permit_date,di_class_no,di_etc_otc_code,di_edi_code,chart,drug_shape,print_front,print_back,color_class1,color_class2,line_front,line_back,img_regist_ts,form_code_name,mark_code_front_anal,mark_code_back_anal,mark_code_front_img,mark_code_back_img,mark_code_front,mark_code_back,change_date
744,K-000059_0_0_0_0_60_000_200.png,976,1280,K-000059_0_0_0_0_60_000_200.png,K-000059,정상알약,검은색 배경,앞면,전구색,60,0,200,196400046,11.1,11.1,3.5,1,58,K-000059,게루삼정 200mg/PTP,Gelusam Tab.,http://connectdi.com/design/img/drug/154307400984500104.jpg,건조수산화알루미늄 겔|침강탄산칼슘|탄산마그네슘|탄산수소나트륨,Calcium Carbonate P.P.T.| Dried Aluminum Hydroxide Gel| Magnesium Carbonate| Sodium Bicarbonate,"정제, 저작정",삼남제약(주),Samnam,,,19640424,[02340]제산제,일반의약품,653700060,흰색의 원형정제,원형,G,G,하양,,,,20041222,나정,,,,,,,20191220
993,K-000069_0_0_0_0_60_000_200.png,976,1280,K-000069_0_0_0_0_60_000_200.png,K-000069,정상알약,검은색 배경,앞면,전구색,60,0,200,196500051,7.9,7.9,3.9,1,68,K-000069,타이밍정 50mg/PTP,Timing Tab.,http://connectdi.com/design/img/drug/1NAT_bwbZd9.jpg,카페인무수물,Caffeine Anhydrous,"정제, 저작정",지엘파마(주),Glpharma,,,19651221,"[01150]각성제,흥분제",일반의약품,649700900,노란색의 팔각형 정제,팔각형,마크,T1E,노랑,,,,20200603,나정,,,,,,,20200103
337,K-000080_0_0_0_0_60_000_200.png,976,1280,K-000080_0_0_0_0_60_000_200.png,K-000080,정상알약,검은색 배경,앞면,전구색,60,0,200,196700060,12.7,12.7,5.3,1,79,K-000080,마이암부톨제피정 400mg,Myambutol Tab. 400mg,http://connectdi.com/design/img/drug/147765859194400050.jpg,에탐부톨염산염,Ethambutol Hydrochloride,"정제, 저작정",(주)유한양행,Yuhan,,,19671002,[06220]항결핵제,전문의약품,"642100440,A04501511",황색의 원형필름코팅정제,원형,YH,MB,노랑,,,,20050704,필름코팅정,,,,,,,20200604
618,K-000112_0_0_0_0_60_000_200.png,976,1280,K-000112_0_0_0_0_60_000_200.png,K-000112,정상알약,검은색 배경,앞면,전구색,60,0,200,197000037,15.4,8.34,6.07,1,111,K-000112,아로나민골드정 72.2mg/PTP (수출용),Aronamin Gold Tab.,http://connectdi.com/design/img/drug/154609810414600027.jpg,푸르설티아민|리보플라빈부티레이트|피리독살포스페이트수화물|히드록소코발라민아세트산염|아스코르브산|토코페롤아세테이트 2배산,Ascorbic Acid| Pyridoxal Phosphate Hydrate| Tocopherol Acetate 50%| Fursultiamine| Hydroxocobalamin Acetate| Riboflavin Butyrate,"정제, 저작정",일동제약(주),Ildong Pharmaceutical,,,19700417,[03160]혼합비타민제(비타민AD 혼합제제를 제외),일반의약품,642901000,1. 내수용 : 이 약은 적색의 필름코팅정이다.2. 수출용 : 이 약은 빨간색의 필름코팅정이다.,타원형,Aro-G,Aro-G,빨강,,,,20041222,필름코팅정,,,,,,,20210223
370,K-000114_0_0_0_0_60_000_200.png,976,1280,K-000114_0_0_0_0_60_000_200.png,K-000114,정상알약,검은색 배경,앞면,전구색,60,0,200,197000049,11,11,4.9,1,113,K-000114,셉트린정,Septrin Tab.,http://connectdi.com/design/img/drug/151585804063400035.jpg,트리메토프림|설파메톡사졸,Sulfamethoxazole| Trimethoprim,"정제, 저작정",삼일제약(주),Samil,,,19700925,[06210]설화제,전문의약품,"643900680,A05000651",흰색 또는 거의 흰색의 원형 정제,원형,마크분할선ST,,하양,,-,,20061218,나정,"siL,5iL",,http://connectdi.com/design/img/drug/147938644048800047.jpg,,,,20170307
537,K-000115_0_0_0_0_60_000_200.png,976,1280,K-000115_0_0_0_0_60_000_200.png,K-000115,정상알약,검은색 배경,앞면,전구색,60,0,200,197000050,9.4,9.4,3.9,1,114,K-000115,자이로릭정(알로푸리놀),Zyroric Tab.,http://connectdi.com/design/img/drug/151317992996500014.jpg,알로푸리놀,Allopurinol,"정제, 저작정",삼일제약(주),Samil,,,19700925,[03940]통풍치료제,전문의약품,"643901390,A05000691",흰색의 원형정제,원형,GS분할선FE7,,하양,,-,,20041222,나정,,,,,,,20210104
460,K-000118_0_0_0_0_60_000_200.png,976,1280,K-000118_0_0_0_0_60_000_200.png,K-000118,정상알약,검은색 배경,앞면,전구색,60,0,200,197000068,10,5,2.8,1,117,K-000118,다오닐정5mg(수출용),Daonil Tab.,http://connectdi.com/design/img/drug/150946443710600011.jpg,글리벤클라미드,Glibenclamide,"정제, 저작정",(주)한독,Handok,,,19700601,[03960]당뇨병용제,전문의약품,"652100130,A07401221",장방형 백색 정제,장방형,LDI분할선LDI,분할선,하양,,-,-,20041222,나정,,,,,,,20161228
811,K-000121_0_0_0_0_60_000_200.png,976,1280,K-000121_0_0_0_0_60_000_200.png,K-000121,정상알약,검은색 배경,앞면,전구색,60,0,200,197000076,9,9,3.93,1,120,K-000121,보나링에이정(디멘히드리네이트),Bonaling-A Tab.,http://connectdi.com/design/img/drug/151317976910500067.jpg,디멘히드리네이트,Dimenhydrinate,"정제, 저작정",일양약품(주),Ilyang Pharmaceutical,,,19700416,"[02350]최토제, 진토제",일반의약품,"641700560,A09500431",국내용: 흰색의 원형정제,원형,BN분할선BN,,하양,,-,,20041222,나정,,,,,,,20180530
528,K-000122_0_0_0_0_60_000_200.png,976,1280,K-000122_0_0_0_0_60_000_200.png,K-000122,정상알약,검은색 배경,앞면,전구색,60,0,200,197000079,7.6,7.6,3.45,1,121,K-000122,에나폰정 10mg,Enafon Tab. 10mg,http://connectdi.com/design/img/drug/1Mxwka5v4t-.jpg,아미트리프틸린염산염,Amitriptyline Hydrochloride,"정제, 저작정",환인제약(주),Whan In Pharm,(주)휴온스,Huons,19700220,[01170]정신신경용제,전문의약품,"657200500,A09700641",청색의 원형 필름코팅정,원형,E10,마크,파랑,,,,20050621,필름코팅정,,왕관,,http://connectdi.com/design/img/drug/147938640332900058.jpg,,,20190518
801,K-000147_0_0_0_0_60_000_200.png,976,1280,K-000147_0_0_0_0_60_000_200.png,K-000147,정상알약,검은색 배경,앞면,전구색,60,0,200,197100081,9.4,9.4,4.6,1,146,K-000147,키모랄에스정 40mg/PTP,Kimoral-S Tab.,http://connectdi.com/design/img/drug/1NjeveJRSOJ.jpg,브로멜라인|결정트립신,Bromelain| Trypsin,장용정제,에이프로젠제약(주),Aprogen Pharmaceuticals,"(주)노바엠헬스케어, 한국프라임제약(주)",Korea Prime Pharm,19710506,[03950]효소제제,일반의약품,645204260,"내수용 : 연녹색의 원형 장용성 필름코팅정, 수출용 : 적색의 원형 장용성 필름코팅정",원형,KS,BT,연두,,,,20210820,장용성필름코팅정,,,,,,,20200310
462,K-000168_0_0_0_0_60_000_200.png,976,1280,K-000168_0_0_0_0_60_000_200.png,K-000168,정상알약,검은색 배경,앞면,전구색,60,0,200,197200160,8.11,8.11,2.79,1,167,K-000168,후릭스정(푸로세미드),Furix Tab.,http://connectdi.com/design/img/drug/151317976910500073.jpg,푸로세미드,Furosemide,"정제, 저작정",일양약품(주),Ilyang Pharmaceutical,,,19720229,[02130]이뇨제,전문의약품,"641702750,A09500681",흰색의 원형 정제,원형,FR분할선FR,,하양,,-,,20041222,나정,,,,,,,20200131
296,K-000212_0_0_0_0_60_000_200.png,976,1280,K-000212_0_0_0_0_60_000_200.png,K-000212,정상알약,검은색 배경,앞면,전구색,60,0,200,197300172,11,11,4.6,1,211,K-000212,리단정(탄산리튬),Lithan Tab.,http://connectdi.com/design/img/drug/1NXA-1cMBWF.jpg,탄산리튬,Lithium Carbonate,"정제, 저작정",부광약품(주),Bukwang Pharm,,,19731222,[01170]정신신경용제,전문의약품,"642200390,A13150261",흰색 또는 거의 흰색의 정제,원형,LIT,,하양,,,,20041222,나정,,,,,,,20190426
692,K-000250_0_0_0_0_60_000_200.png,976,1280,K-000250_0_0_0_0_60_000_200.png,K-000250,정상알약,검은색 배경,앞면,전구색,60,0,200,197400246,11.1,11.1,4.5,1,249,K-000250,마그밀정(수산화마그네슘),Magmil Tab. 500mg,http://connectdi.com/design/img/drug/1NgBQQRiuc_.jpg,수산화마그네슘,Magnesium Hydroxide,"정제, 저작정",삼남제약(주),Samnam,,,19740902,[02340]제산제,일반의약품,"653700240,A11800371",흰색의 원형정제,원형,마크,마크,하양,,,,20041222,나정,"M,W,ⓦ","M,W,ⓦ",http://connectdi.com/design/img/drug/147938647484100150.jpg,http://connectdi.com/design/img/drug/147938647484100150.jpg,,,20150925
